分类: 📡卫视频道, 名称: 贵州卫视, 总数: 7, 有效: 5, 有效率: 71.43%, IPv4: 6, IPv6: 1, 最小延迟: 418 ms, 最高速率: 9.71 M/s, 平均速率: 6.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东南卫视, 总数: 7, 有效: 4, 有效率: 57.14%, IPv4: 6, IPv6: 1, 最小延迟: 441 ms, 最高速率: 9.82 M/s, 平均速率: 5.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 甘肃卫视, 总数: 8, 有效: 4, 有效率: 50.00%, IPv4: 7, IPv6: 1, 最小延迟: 32 ms, 最高速率: 7.01 M/s, 平均速率: 5.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 总数: 6, 有效: 5, 有效率: 83.33%, IPv4: 6, IPv6: 0, 最小延迟: 57 ms, 最高速率: 22.99 M/s, 平均速率: 9.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河北卫视, 总数: 6, 有效: 4, 有效率: 66.67%, IPv4: 5, IPv6: 1, 最小延迟: 413 ms, 最高速率: 9.27 M/s, 平均速率: 6.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 吉林卫视, 总数: 7, 有效: 5, 有效率: 71.43%, IPv4: 6, IPv6: 1, 最小延迟: 148 ms, 最高速率: 9.19 M/s, 平均速率: 5.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江苏卫视, 总数: 7, 有效: 5, 有效率: 71.43%, IPv4: 6, IPv6: 1, 最小延迟: 416 ms, 最高速率: 10.75 M/s, 平均速率: 9.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 总数: 8, 有效: 6, 有效率: 75.00%, IPv4: 7, IPv6: 1, 最小延迟: 153 ms, 最高速率: 9.16 M/s, 平均速率: 6.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 内蒙古卫视, 总数: 6, 有效: 5, 有效率: 83.33%, IPv4: 5, IPv6: 1, 最小延迟: 162 ms, 最高速率: 9.28 M/s, 平均速率: 6.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 海南卫视, 总数: 6, 有效: 4, 有效率: 66.67%, IPv4: 5, IPv6: 1, 最小延迟: 147 ms, 最高速率: 6.14 M/s, 平均速率: 4.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 辽宁卫视, 总数: 7, 有效: 5, 有效率: 71.43%, IPv4: 6, IPv6: 1, 最小延迟: 172 ms, 最高速率: 9.02 M/s, 平均速率: 6.02 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 宁夏卫视, 总数: 8, 有效: 4, 有效率: 50.00%, IPv4: 7, IPv6: 1, 最小延迟: 386 ms, 最高速率: 8.95 M/s, 平均速率: 6.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东卫视, 总数: 6, 有效: 4, 有效率: 66.67%, IPv4: 5, IPv6: 1, 最小延迟: 410 ms, 最高速率: 8.74 M/s, 平均速率: 7.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 青海卫视, 总数: 7, 有效: 6, 有效率: 85.71%, IPv4: 6, IPv6: 1, 最小延迟: 404 ms, 最高速率: 10.21 M/s, 平均速率: 7.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 总数: 7, 有效: 3, 有效率: 42.86%, IPv4: 6, IPv6: 1, 最小延迟: 526 ms, 最高速率: 9.32 M/s, 平均速率: 8.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 总数: 7, 有效: 6, 有效率: 85.71%, IPv4: 6, IPv6: 1, 最小延迟: 170 ms, 最高速率: 9.77 M/s, 平均速率: 4.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 四川卫视, 总数: 7, 有效: 5, 有效率: 71.43%, IPv4: 6, IPv6: 1, 最小延迟: 490 ms, 最高速率: 7.05 M/s, 平均速率: 6.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 三沙卫视, 总数: 4, 有效: 4, 有效率: 100.00%, IPv4: 4, IPv6: 0, 最小延迟: 672 ms, 最高速率: 7.61 M/s, 平均速率: 6.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 天津卫视, 总数: 13, 有效: 7, 有效率: 53.85%, IPv4: 7, IPv6: 6, 最小延迟: 58 ms, 最高速率: 8.77 M/s, 平均速率: 4.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 西藏卫视, 总数: 8, 有效: 6, 有效率: 75.00%, IPv4: 7, IPv6: 1, 最小延迟: 415 ms, 最高速率: 28.62 M/s, 平均速率: 12.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东珠江, 总数: 1, 有效: 1, 有效率: 100.00%, IPv4: 1, IPv6: 0, 最小延迟: 167 ms, 最高速率: 3.98 M/s, 平均速率: 3.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 新疆卫视, 总数: 8, 有效: 6, 有效率: 75.00%, IPv4: 7, IPv6: 1, 最小延迟: 145 ms, 最高速率: 10.10 M/s, 平均速率: 7.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 总数: 13, 有效: 7, 有效率: 53.85%, IPv4: 8, IPv6: 5, 最小延迟: 159 ms, 最高速率: 10.80 M/s, 平均速率: 5.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 云南卫视, 总数: 6, 有效: 5, 有效率: 83.33%, IPv4: 5, IPv6: 1, 最小延迟: 464 ms, 最高速率: 9.57 M/s, 平均速率: 5.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东新闻, 总数: 1, 有效: 1, 有效率: 100.00%, IPv4: 1, IPv6: 0, 最小延迟: 337 ms, 最高速率: 5.36 M/s, 平均速率: 5.36 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东民生, 总数: 1, 有效: 1, 有效率: 100.00%, IPv4: 1, IPv6: 0, 最小延迟: 324 ms, 最高速率: 4.09 M/s, 平均速率: 4.09 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 大湾区卫视, 总数: 4, 有效: 4, 有效率: 100.00%, IPv4: 4, IPv6: 0, 最小延迟: 335 ms, 最高速率: 5.40 M/s, 平均速率: 5.31 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广州综合, 总数: 3, 有效: 3, 有效率: 100.00%, IPv4: 3, IPv6: 0, 最小延迟: 1818 ms, 最高速率: 0.48 M/s, 平均速率: 0.44 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广州影视, 总数: 6, 有效: 1, 有效率: 16.67%, IPv4: 0, IPv6: 6, 最小延迟: 621 ms, 最高速率: 12.47 M/s, 平均速率: 12.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 江门综合, 总数: 5, 有效: 0, 有效率: 0.00%, IPv4: 0, IPv6: 5, 最小延迟: 1019 ms, 最高速率: 0.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 佛山综合, 总数: 5, 有效: 0, 有效率: 0.00%, IPv4: 0, IPv6: 5, 最小延迟: 998 ms, 最高速率: 0.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东体育, 总数: 10, 有效: 3, 有效率: 30.00%, IPv4: 0, IPv6: 10, 最小延迟: 267 ms, 最高速率: 31.56 M/s, 平均速率: 28.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 汕头综合, 总数: 5, 有效: 0, 有效率: 0.00%, IPv4: 0, IPv6: 5, 最小延迟: 1004 ms, 最高速率: 0.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 汕头经济, 总数: 5, 有效: 0, 有效率: 0.00%, IPv4: 0, IPv6: 5, 最小延迟: 1009 ms, 最高速率: 0.20 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广州竞赛, 总数: 6, 有效: 1, 有效率: 16.67%, IPv4: 1, IPv6: 5, 最小延迟: 429 ms, 最高速率: 7.60 M/s, 平均速率: 7.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️浙江频道, 名称: 浙江钱江都市, 总数: 2, 有效: 2, 有效率: 100.00%, IPv4: 2, IPv6: 0, 最小延迟: 1706 ms, 最高速率: 1.03 M/s, 平均速率: 0.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️浙江频道, 名称: 浙江钱江, 总数: 4, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 3, 最小延迟: 993 ms, 最高速率: 0.42 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️浙江频道, 名称: 浙江经济生活, 总数: 2, 有效: 2, 有效率: 100.00%, IPv4: 2, IPv6: 0, 最小延迟: 1875 ms, 最高速率: 0.77 M/s, 平均速率: 0.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
